Manufacturing_time,Sys_mix,Patient,hrv_m,hrv_o,mfg_m,mfg_o
L1,L1,L1,L1,L1,L1,L1
L1,L1,L1,L1,L1,L1,L2
L1,L1,L1,L1,L1,L2,L1
L1,L1,L1,L1,L1,L2,L2
L1,L1,L1,L1,L2,L1,L1
L1,L1,L1,L1,L2,L1,L2
L1,L1,L1,L1,L2,L2,L1
L1,L1,L1,L1,L2,L2,L2
L1,L1,L1,L2,L1,L1,L1
L1,L1,L1,L2,L1,L1,L2
L1,L1,L1,L2,L1,L2,L1
L1,L1,L1,L2,L1,L2,L2
L1,L1,L1,L2,L2,L1,L1
L1,L1,L1,L2,L2,L1,L2
L1,L1,L1,L2,L2,L2,L1
L1,L1,L1,L2,L2,L2,L2
L1,L1,L2,L1,L1,L1,L1
L1,L1,L2,L1,L1,L1,L2
L1,L1,L2,L1,L1,L2,L1
L1,L1,L2,L1,L1,L2,L2
L1,L1,L2,L1,L2,L1,L1
L1,L1,L2,L1,L2,L1,L2
L1,L1,L2,L1,L2,L2,L1
L1,L1,L2,L1,L2,L2,L2
L1,L1,L2,L2,L1,L1,L1
L1,L1,L2,L2,L1,L1,L2
L1,L1,L2,L2,L1,L2,L1
L1,L1,L2,L2,L1,L2,L2
L1,L1,L2,L2,L2,L1,L1
L1,L1,L2,L2,L2,L1,L2
L1,L1,L2,L2,L2,L2,L1
L1,L1,L2,L2,L2,L2,L2
L1,L2,L1,L1,L1,L1,L1
L1,L2,L1,L1,L1,L1,L2
L1,L2,L1,L1,L1,L2,L1
L1,L2,L1,L1,L1,L2,L2
L1,L2,L1,L1,L2,L1,L1
L1,L2,L1,L1,L2,L1,L2
L1,L2,L1,L1,L2,L2,L1
L1,L2,L1,L1,L2,L2,L2
L1,L2,L1,L2,L1,L1,L1
L1,L2,L1,L2,L1,L1,L2
L1,L2,L1,L2,L1,L2,L1
L1,L2,L1,L2,L1,L2,L2
L1,L2,L1,L2,L2,L1,L1
L1,L2,L1,L2,L2,L1,L2
L1,L2,L1,L2,L2,L2,L1
L1,L2,L1,L2,L2,L2,L2
L1,L2,L2,L1,L1,L1,L1
L1,L2,L2,L1,L1,L1,L2
L1,L2,L2,L1,L1,L2,L1
L1,L2,L2,L1,L1,L2,L2
L1,L2,L2,L1,L2,L1,L1
L1,L2,L2,L1,L2,L1,L2
L1,L2,L2,L1,L2,L2,L1
L1,L2,L2,L1,L2,L2,L2
L1,L2,L2,L2,L1,L1,L1
L1,L2,L2,L2,L1,L1,L2
L1,L2,L2,L2,L1,L2,L1
L1,L2,L2,L2,L1,L2,L2
L1,L2,L2,L2,L2,L1,L1
L1,L2,L2,L2,L2,L1,L2
L1,L2,L2,L2,L2,L2,L1
L1,L2,L2,L2,L2,L2,L2
L2,L1,L1,L1,L1,L1,L1
L2,L1,L1,L1,L1,L1,L2
L2,L1,L1,L1,L1,L2,L1
L2,L1,L1,L1,L1,L2,L2
L2,L1,L1,L1,L2,L1,L1
L2,L1,L1,L1,L2,L1,L2
L2,L1,L1,L1,L2,L2,L1
L2,L1,L1,L1,L2,L2,L2
L2,L1,L1,L2,L1,L1,L1
L2,L1,L1,L2,L1,L1,L2
L2,L1,L1,L2,L1,L2,L1
L2,L1,L1,L2,L1,L2,L2
L2,L1,L1,L2,L2,L1,L1
L2,L1,L1,L2,L2,L1,L2
L2,L1,L1,L2,L2,L2,L1
L2,L1,L1,L2,L2,L2,L2
L2,L1,L2,L1,L1,L1,L1
L2,L1,L2,L1,L1,L1,L2
L2,L1,L2,L1,L1,L2,L1
L2,L1,L2,L1,L1,L2,L2
L2,L1,L2,L1,L2,L1,L1
L2,L1,L2,L1,L2,L1,L2
L2,L1,L2,L1,L2,L2,L1
L2,L1,L2,L1,L2,L2,L2
L2,L1,L2,L2,L1,L1,L1
L2,L1,L2,L2,L1,L1,L2
L2,L1,L2,L2,L1,L2,L1
L2,L1,L2,L2,L1,L2,L2
L2,L1,L2,L2,L2,L1,L1
L2,L1,L2,L2,L2,L1,L2
L2,L1,L2,L2,L2,L2,L1
L2,L1,L2,L2,L2,L2,L2
L2,L2,L1,L1,L1,L1,L1
L2,L2,L1,L1,L1,L1,L2
L2,L2,L1,L1,L1,L2,L1
L2,L2,L1,L1,L1,L2,L2
L2,L2,L1,L1,L2,L1,L1
L2,L2,L1,L1,L2,L1,L2
L2,L2,L1,L1,L2,L2,L1
L2,L2,L1,L1,L2,L2,L2
L2,L2,L1,L2,L1,L1,L1
L2,L2,L1,L2,L1,L1,L2
L2,L2,L1,L2,L1,L2,L1
L2,L2,L1,L2,L1,L2,L2
L2,L2,L1,L2,L2,L1,L1
L2,L2,L1,L2,L2,L1,L2
L2,L2,L1,L2,L2,L2,L1
L2,L2,L1,L2,L2,L2,L2
L2,L2,L2,L1,L1,L1,L1
L2,L2,L2,L1,L1,L1,L2
L2,L2,L2,L1,L1,L2,L1
L2,L2,L2,L1,L1,L2,L2
L2,L2,L2,L1,L2,L1,L1
L2,L2,L2,L1,L2,L1,L2
L2,L2,L2,L1,L2,L2,L1
L2,L2,L2,L1,L2,L2,L2
L2,L2,L2,L2,L1,L1,L1
L2,L2,L2,L2,L1,L1,L2
L2,L2,L2,L2,L1,L2,L1
L2,L2,L2,L2,L1,L2,L2
L2,L2,L2,L2,L2,L1,L1
L2,L2,L2,L2,L2,L1,L2
L2,L2,L2,L2,L2,L2,L1
L2,L2,L2,L2,L2,L2,L2
